lane,shipment_count,total_emissions,average_emissions,average_utilization,average_speed_kmph,average_transit_time_hrs,average_co2_per_ton_km,hotspot_tag,recommendation_summary
Agartala - Burhanpur,12,4440.3,370.025,65.9166666666667,50.5166666666667,17.9,0.053589,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Chandigarh,13,8904.9,684.992307692308,72.3846153846154,51.3846153846154,42.1692307692308,0.0255705384615385,Normal,Monitor performance
Agartala - Chandrapur,10,5453.8,545.38,76.5,51.19,30.14,0.0444931,Normal,Monitor performance
Agartala - Chennai,6,6624.4,1104.06666666667,68,52.4666666666667,59.0666666666667,0.0817235,Normal,Monitor performance
Agartala - Coimbatore,10,4368.1,436.81,66,46.94,20,0.0310376,Normal,Monitor performance
Agartala - Cuttack,16,16737,1046.0625,71.0625,48.1125,42.9625,0.045446125,Normal,Monitor performance
Agartala - Darbhanga,7,9352,1336,64.1428571428571,46.2571428571429,63.8714285714286,0.044212,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Davangere,6,6067.5,1011.25,79.5,53.3,41.9833333333333,0.0533505,Normal,Monitor performance
Agartala - Delhi,14,12968.9,926.35,65.8571428571429,49.9142857142857,37.3,0.0665570714285714,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Dhanbad,9,3693.3,410.366666666667,79.6666666666667,46.2666666666667,21.7555555555556,0.0681067777777778,Normal,Monitor performance
Agartala - Durgapur,6,3982.1,663.683333333333,71.8333333333333,45.4833333333333,26.3333333333333,0.0551913333333333,Normal,Monitor performance
Agartala - Erode,10,11364.5,1136.45,66,53.35,52.44,0.0640571,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Faridabad,12,16675.2,1389.6,63.3333333333333,47.625,53.3833333333333,0.0351681666666667,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Ghaziabad,6,2378.7,396.45,63.6666666666667,53.7,19.25,0.0778395,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Gurgaon,10,5647.2,564.72,70.3,50.52,23.8,0.0442595,Normal,Monitor performance
Agartala - Guwahati,14,8030.8,573.628571428572,68.5714285714286,49.2,23.1428571428571,0.0524800714285714,Normal,Monitor performance
Agartala - Gwalior,8,9078,1134.75,69.375,46.6,46.1,0.060539375,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Haldia,11,12192.1,1108.37272727273,69.3636363636364,51.3,54.3454545454545,0.0442339090909091,Normal,Monitor performance
Agartala - Haridwar,14,12071.2,862.228571428572,61.9285714285714,47.1285714285714,39.6928571428571,0.0343141428571429,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Hassan,10,15085.6,1508.56,73.7,52.39,53.96,0.0463409,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Hisar,8,3000.5,375.0625,69.75,49.8,15.225,0.060702625,Normal,Monitor performance
Agartala - Hoshangabad,7,5656.8,808.114285714286,66,47.4571428571429,45.2428571428571,0.0443684285714286,Normal,Monitor performance
Agartala - Hubli,7,6971.8,995.971428571429,63.4285714285714,53.8,32.3857142857143,0.105145714285714,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Imphal,14,12521,894.357142857143,73.8571428571429,49.9928571428571,53.5142857142857,0.0338877857142857,Normal,Monitor performance
Agartala - Indore,12,16624.7,1385.39166666667,74.9166666666667,46.7833333333333,44.5166666666667,0.07791175,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Itanagar,12,9391.3,782.608333333333,68,46.0416666666667,39.7166666666667,0.0843904166666667,Normal,Monitor performance
Agartala - Jabalpur,13,13885,1068.07692307692,70.9230769230769,49.3,49.8538461538462,0.0531463076923077,Normal,Monitor performance
Agartala - Jaipur,5,6040.9,1208.18,57.8,53.26,45.58,0.0309458,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Jalandhar,9,10093.8,1121.53333333333,67.4444444444444,49.5888888888889,52.3444444444445,0.0263667777777778,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Jodhpur,10,16233.1,1623.31,69.2,50.14,62,0.0626457,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Kakinada,12,7239.5,603.291666666667,76.3333333333333,51.1333333333333,21.775,0.0469255,Normal,Monitor performance
Agartala - Kanpur,7,11519,1645.57142857143,71,50.6285714285714,62.4571428571429,0.0364565714285714,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Karnal,16,8662.3,541.39375,69.8125,49.9375,28.28125,0.05220075,Normal,Monitor performance
Agartala - Karur,5,6024.6,1204.92,67.6,43.08,54.64,0.0365778,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Katni,14,14319.3,1022.80714285714,67.5,51.8571428571429,50.2785714285714,0.0390300714285714,Normal,Monitor performance
Agartala - Khandwa,9,3228.7,358.744444444444,83.1111111111111,51.5333333333333,13.5666666666667,0.0637972222222222,Normal,Monitor performance
Agartala - Kharagpur,12,2707.5,225.625,69.9166666666667,48.6416666666667,16.4,0.04346825,Normal,Monitor performance
Agartala - Kochi,11,12166.2,1106.01818181818,72.0909090909091,46.9545454545455,42.2636363636364,0.0681540909090909,Normal,Monitor performance
Agartala - Kolhapur,14,1244.6,88.9,75.1428571428571,48.4714285714286,8.10714285714286,0.039662,Normal,Monitor performance
Agartala - Kolkata,13,6973.5,536.423076923077,68.6153846153846,49.2615384615385,26,0.0336715384615385,Normal,Monitor performance
Agartala - Korba,6,3387,564.5,65,52,25.85,0.033656,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Kota,12,19094.8,1591.23333333333,67.3333333333333,54.9166666666667,51.3416666666667,0.0397760833333333,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Lucknow,8,5905.4,738.175,78.75,47.7875,39.125,0.049651375,Normal,Monitor performance
Agartala - Ludhiana,9,6850.2,761.133333333333,69.5555555555556,49.4444444444444,31.4111111111111,0.0999561111111111,Normal,Monitor performance
Agartala - Madurai,14,9474.3,676.735714285714,67.6428571428571,51.1571428571429,27.6785714285714,0.0361328571428571,Normal,Monitor performance
Agartala - Mangalore,12,13738.5,1144.875,80,48.3833333333333,56.35,0.0757873333333333,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Meerut,14,6522.2,465.871428571429,64.2857142857143,48.7142857142857,22.8785714285714,0.051886,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Moradabad,8,4461.9,557.7375,67,47.775,27.325,0.073851,Normal,Monitor performance
Agartala - Mumbai,9,8745.5,971.722222222222,63.5555555555556,46.8111111111111,43.9444444444444,0.0336206666666667,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Nagpur,6,6690.6,1115.1,65,52.65,29.55,0.0926125,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Nashik,15,13672,911.466666666667,72.8666666666667,50.2933333333333,43.7733333333333,0.0291853333333333,Normal,Monitor performance
Agartala - Nellore,10,16174,1617.4,74.5,49.12,60.88,0.1020678,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Panipat,9,6062.8,673.644444444445,67,51.0666666666667,25.2,0.0562806666666667,Normal,Monitor performance
Agartala - Patna,7,3387.5,483.928571428571,63.2857142857143,51.5714285714286,20.0285714285714,0.0421002857142857,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Prayagraj,13,12670.3,974.638461538462,70.1538461538462,50.9692307692308,36.0846153846154,0.0505581538461538,Normal,Monitor performance
Agartala - Pune,6,7077,1179.5,63.5,51.5666666666667,46.55,0.0330365,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Purnia,12,4413.1,367.758333333333,68.25,51.1916666666667,18.7416666666667,0.0269981666666667,Normal,Monitor performance
Agartala - Raipur,13,2380.4,183.107692307692,73,53.0923076923077,9.43846153846154,0.0574172307692308,Normal,Monitor performance
Agartala - Rajkot,13,6670.9,513.146153846154,62.9230769230769,48.5076923076923,24.6307692307692,0.0462425384615385,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Ratlam,11,1455.5,132.318181818182,66.7272727272727,50.4090909090909,8.92727272727273,0.0718913636363636,Normal,Monitor performance
Agartala - Rewa,5,7602.1,1520.42,61.6,48.7,46.4,0.1227082,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Rohtak,10,14062.2,1406.22,63.8,50.76,43.14,0.0856063,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Rourkela,14,19430.4,1387.88571428571,71.0714285714286,53.1714285714286,49.4071428571429,0.046546,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Sagar,8,3986.1,498.2625,64.75,50.15,22.3375,0.039926875,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Salem,17,6090.3,358.252941176471,67.8235294117647,52.9764705882353,16.6941176470588,0.0856050588235294,Normal,Monitor performance
Agartala - Sangli,10,11085.8,1108.58,74.4,47,61.02,0.0713614,Normal,Monitor performance
Agartala - Satna,4,4182.8,1045.7,67.75,49.875,47.55,0.04632025,Normal,Monitor performance
Agartala - Shillong,14,19552.8,1396.62857142857,72,52.75,57.4285714285714,0.0443002142857143,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Silchar,8,8518.7,1064.8375,68.125,51.475,59.1875,0.024059,Normal,Monitor performance
Agartala - Siliguri,8,10910,1363.75,77.875,51.9,50.5625,0.059150625,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Sonipat,13,10410.6,800.815384615385,74.3076923076923,48.1615384615385,26.6076923076923,0.065807,Normal,Monitor performance
Agartala - Thiruvananthapuram,8,3431.3,428.9125,73.125,54.5375,20.0625,0.035029125,Normal,Monitor performance
Agartala - Tirunelveli,13,10442,803.230769230769,73.4615384615385,52.0153846153846,35.2461538461539,0.0734246153846154,Normal,Monitor performance
Agartala - Tirupati,9,6308,700.888888888889,63.7777777777778,47.5222222222222,33.0333333333333,0.0681732222222222,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Tiruppur,7,6439.1,919.871428571429,65.7142857142857,55.3857142857143,39.4,0.046512,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Trichy,7,8758.9,1251.27142857143,73,48.7142857142857,52.1285714285714,0.0466198571428571,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Tuticorin,14,10067.9,719.135714285714,74.3571428571429,50.5142857142857,34.5857142857143,0.0490169285714286,Normal,Monitor performance
Agartala - Udaipur,10,12129.7,1212.97,77.4,47.93,58.44,0.0340786,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Ujjain,12,8240.8,686.733333333333,66.4166666666667,50.1,29.05,0.0791216666666667,Normal,Monitor performance
Agartala - Vadodara,8,6623,827.875,75,53.65,36.9125,0.04458725,Normal,Monitor performance
Agartala - Varanasi,8,6427.9,803.4875,74.5,53.1125,33.1,0.041557875,Normal,Monitor performance
Agartala - Vidisha,12,20489.2,1707.43333333333,62.0833333333333,49.2,63.4583333333333,0.0552601666666667,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Vijayawada,12,3987.3,332.275,78,49.7416666666667,18.3166666666667,0.0730513333333333,Normal,Monitor performance
Agartala - Warangal,15,4579.9,305.326666666667,78.4,54.04,13.5,0.0631444666666667,Normal,Monitor performance
Agartala - Yavatmal,12,1845.2,153.766666666667,74.8333333333333,53.3166666666667,8.66666666666667,0.05834375,Normal,Monitor performance
Agra - Agartala,16,6532.9,408.30625,74.125,50.06875,19.375,0.0506671875,Normal,Monitor performance
Agra - Aizawl,12,11259.3,938.275,69.3333333333333,48.7333333333333,44.7333333333333,0.0543821666666667,Normal,Monitor performance
Agra - Ajmer,6,2577.3,429.55,71.1666666666667,46.25,25.8833333333333,0.0561063333333333,Normal,Monitor performance
Agra - Akola,10,4733.5,473.35,76.2,50.98,24.04,0.0650966,Normal,Monitor performance
Agra - Amritsar,11,3217.8,292.527272727273,76.6363636363636,53.5,13.2636363636364,0.0644760909090909,Normal,Monitor performance
Agra - Anantapur,10,16298.2,1629.82,68.6,49.83,54.43,0.0712141,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Asansol,11,15494.4,1408.58181818182,61.0909090909091,50.9272727272727,63.8363636363636,0.0696778181818182,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Ballari,9,6860,762.222222222222,77.3333333333333,47.0555555555556,32.4333333333333,0.066617,Normal,Monitor performance
Agra - Bareilly,10,11671.7,1167.17,72.6,48.32,51.72,0.0304753,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Bhopal,7,9267.7,1323.95714285714,67.4285714285714,44.7857142857143,74,0.0222518571428572,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Bhubaneswar,14,8350,596.428571428571,69.0714285714286,50.1214285714286,24.7857142857143,0.0401942857142857,Normal,Monitor performance
Agra - Bilaspur,8,2108.5,263.5625,62.875,50.0125,14.925,0.036878625,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Bokaro,9,8677.8,964.2,70.5555555555556,50.3111111111111,41.2444444444444,0.0588506666666667,Normal,Monitor performance
Agra - Burhanpur,6,3432.5,572.083333333333,68.6666666666667,45.55,34.3,0.0242915,Normal,Monitor performance
Agra - Chandigarh,9,12765.6,1418.4,68.4444444444444,49.8777777777778,50.1777777777778,0.063153,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Chandrapur,13,12235.2,941.169230769231,65.9230769230769,52.4307692307692,36.0615384615385,0.0473012307692308,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Chennai,7,11424.9,1632.12857142857,69.1428571428571,46.7714285714286,64.9142857142857,0.0646535714285714,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Coimbatore,6,180.6,30.1,69,46.3833333333333,5.43333333333333,0.0231203333333333,Normal,Monitor performance
Agra - Cuttack,10,14092.2,1409.22,73.9,50.98,49.05,0.095339,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Darbhanga,8,15140.9,1892.6125,65.5,51.925,62.7125,0.0603835,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Davangere,7,7857.3,1122.47142857143,73.2857142857143,48.7428571428571,56.5571428571429,0.0295358571428571,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Dehradun,4,5671.4,1417.85,63.75,53.9,49.375,0.06068425,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Delhi,7,7626.7,1089.52857142857,72.8571428571429,49.3428571428571,52.1,0.0740818571428572,Normal,Monitor performance
Agra - Dhanbad,10,8083.6,808.36,73.5,49.91,32.77,0.0404538,Normal,Monitor performance
Agra - Durgapur,5,6094,1218.8,71.2,44.06,43.32,0.0627902,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Erode,8,13323.9,1665.4875,61.875,49.625,51.2125,0.040067125,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Ghaziabad,11,5178.9,470.809090909091,69.3636363636364,44.9363636363636,23.6909090909091,0.0999403636363637,Normal,Monitor performance
Agra - Guntur,2,500.8,250.4,68,53.8,15.4,0.03408,Normal,Monitor performance
Agra - Gurgaon,10,8667.2,866.72,70.5,47.29,38.29,0.0472409,Normal,Monitor performance
Agra - Guwahati,12,12217.5,1018.125,65,54.9583333333333,33.2333333333333,0.05111675,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Gwalior,9,8173.1,908.122222222222,66.6666666666667,49.8666666666667,41.1777777777778,0.0553455555555556,Normal,Monitor performance
Agra - Haldia,6,9131.6,1521.93333333333,64,50.1333333333333,53.4166666666667,0.101750833333333,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Haridwar,9,6552.8,728.088888888889,70.8888888888889,44.7222222222222,31.1,0.0609496666666667,Normal,Monitor performance
Agra - Hassan,11,14601.4,1327.4,77.8181818181818,55.7363636363636,52.8818181818182,0.0579447272727273,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Hisar,12,6541.4,545.116666666667,69.25,51.8333333333333,23.35,0.0514420833333333,Normal,Monitor performance
Agra - Hoshangabad,14,20460.5,1461.46428571429,71.3571428571429,45.6714285714286,56.75,0.0522483571428571,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Hubli,12,15405.6,1283.8,76.8333333333333,47.2666666666667,50.375,0.0522699166666667,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Hyderabad,4,2265.7,566.425,82.5,51.325,18.75,0.0792705,Normal,Monitor performance
Agra - Imphal,14,20263.8,1447.41428571429,74,48.4357142857143,62.5357142857143,0.0651088571428572,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Indore,9,12897.1,1433.01111111111,78.1111111111111,49.8222222222222,45.9111111111111,0.0740348888888889,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Itanagar,13,18627,1432.84615384615,72.9230769230769,51.4461538461538,48.7230769230769,0.0640464615384615,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Jabalpur,16,19781.9,1236.36875,73.5,52.35625,50.475,0.0517088125,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Jaipur,11,11076.3,1006.93636363636,66.7272727272727,53.0181818181818,46.3909090909091,0.0457636363636364,Normal,Monitor performance
Agra - Jalandhar,17,22627.7,1331.04117647059,74,48.1176470588235,54.2529411764706,0.0516067058823529,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Jammu,7,5374,767.714285714286,66.7142857142857,47.2,39.6285714285714,0.0398774285714286,Normal,Monitor performance
Agra - Jharsuguda,13,8816.4,678.184615384615,70.5384615384615,53.9846153846154,22.6538461538462,0.07537,Normal,Monitor performance
Agra - Jodhpur,12,17886.9,1490.575,63.0833333333333,51.9083333333333,70.9666666666667,0.0766931666666667,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Kakinada,11,4929.4,448.127272727273,68.9090909090909,53.4363636363636,20.5090909090909,0.060649,Normal,Monitor performance
Agra - Kanpur,8,9356.7,1169.5875,59.625,51.7125,62.275,0.07645775,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Karnal,9,8674.8,963.866666666667,57.5555555555556,46.1333333333333,42.1222222222222,0.0298793333333333,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Karur,7,6453.6,921.942857142857,79.2857142857143,49.1714285714286,56.7571428571429,0.0205484285714286,Normal,Monitor performance
Agra - Katni,12,17956.1,1496.34166666667,69.4166666666667,53.1666666666667,52.9583333333333,0.06770725,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Khandwa,13,2158.3,166.023076923077,72.6153846153846,45.9769230769231,10.0076923076923,0.074322,Normal,Monitor performance
Agra - Kharagpur,12,6197.1,516.425,65.4166666666667,47.5416666666667,26.6416666666667,0.0472385,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Kochi,14,11696.2,835.442857142857,69.3571428571429,49.9142857142857,34.7071428571429,0.0856978571428572,Normal,Monitor performance
Agra - Kolhapur,12,6083.4,506.95,66.3333333333333,48.1666666666667,22.9666666666667,0.0408366666666667,Normal,Monitor performance
Agra - Kota,8,14269.8,1783.725,64.125,44.6875,72.9875,0.04826925,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Lucknow,5,6110.8,1222.16,64.8,56.48,45.2,0.0537864,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Ludhiana,12,5434.8,452.9,70.4166666666667,46.7166666666667,22.45,0.0543483333333333,Normal,Monitor performance
Agra - Madurai,12,11306.3,942.191666666667,75.0833333333333,46.5,37.6083333333333,0.04352325,Normal,Monitor performance
Agra - Mangalore,11,15808.6,1437.14545454546,71.2727272727273,47.1,68.0727272727273,0.0533492727272727,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Moradabad,7,3979.5,568.5,75.1428571428571,46.5571428571429,30,0.0660954285714286,Normal,Monitor performance
Agra - Mumbai,10,5667.3,566.73,76.7,49.39,31.13,0.0338591,Normal,Monitor performance
Agra - Noida,8,2080.9,260.1125,62.5,47.275,14.3,0.08201675,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Panipat,9,4835.8,537.311111111111,70.6666666666667,52.6,29.2666666666667,0.0446711111111111,Normal,Monitor performance
Agra - Patna,10,9298,929.8,72,50.71,35.29,0.0548551,Normal,Monitor performance
Agra - Prayagraj,8,6951.2,868.9,62.625,45.7875,32.5375,0.095201125,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Pune,9,11305.3,1256.14444444444,72.7777777777778,50.9111111111111,52.1444444444445,0.0654145555555556,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Purnia,7,5608.3,801.185714285714,69.2857142857143,47.2428571428571,34.9285714285714,0.0340767142857143,Normal,Monitor performance
Agra - Raipur,6,3371.5,561.916666666667,74.1666666666667,48.9333333333333,24.5,0.0459445,Normal,Monitor performance
Agra - Rajkot,8,3216.9,402.1125,63,48.025,26.5375,0.028966,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Ratlam,4,2768.7,692.175,83,50.45,22.55,0.054592,Normal,Monitor performance
Agra - Rewa,17,19975.9,1175.05294117647,67.1176470588235,48.2764705882353,55.8470588235294,0.0386798235294118,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Rohtak,6,8154.8,1359.13333333333,72.5,49.9,50.6166666666667,0.0506278333333333,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Rourkela,7,10430.6,1490.08571428571,59.5714285714286,54.3857142857143,50.2571428571429,0.0562892857142857,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Sagar,7,1675.9,239.414285714286,62.7142857142857,46.0142857142857,13.8,0.0309132857142857,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Salem,7,4677.3,668.185714285714,68.5714285714286,53.2857142857143,27.9857142857143,0.0358085714285714,Normal,Monitor performance
Agra - Sangli,5,5023.6,1004.72,67.2,50.14,61.04,0.0493168,Normal,Monitor performance
Agra - Satna,13,18061.8,1389.36923076923,65.7692307692308,47.4615384615385,59.0076923076923,0.0659858461538461,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Shillong,12,17946.1,1495.50833333333,68.6666666666667,49.3083333333333,63.025,0.04968025,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Shimla,9,6425.5,713.944444444445,67.2222222222222,51.7444444444444,31.3666666666667,0.0520382222222222,Normal,Monitor performance
Agra - Siliguri,13,20421.2,1570.86153846154,68.6153846153846,52.3461538461539,60.5076923076923,0.0643812307692308,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Solapur,8,4496.5,562.0625,68.25,51.8625,24.3375,0.067368125,Normal,Monitor performance
Agra - Sonipat,11,10858,987.090909090909,73.1818181818182,49.1818181818182,40.8727272727273,0.0523942727272727,Normal,Monitor performance
Agra - Srinagar,9,4363.8,484.866666666667,68.7777777777778,44.5888888888889,30.8333333333333,0.0324126666666667,Normal,Monitor performance
Agra - Surat,12,11721.4,976.783333333333,72.9166666666667,49.45,37.8666666666667,0.0434475833333333,Normal,Monitor performance
Agra - Thiruvananthapuram,11,8703.8,791.254545454545,62.5454545454546,50.1636363636364,33.5454545454546,0.0607051818181818,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Tirunelveli,10,11001.9,1100.19,61.9,47.3,46.05,0.0545483,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Tirupati,10,11401.2,1140.12,78.3,58.11,38.14,0.0481284,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Trichy,10,13223.3,1322.33,73.7,50.8,55.38,0.0702457,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Tuticorin,15,8733.1,582.206666666667,73.4,47.4066666666667,32.04,0.0555111333333333,Normal,Monitor performance
Agra - Udaipur,8,15828.8,1978.6,72.625,51.7125,65.0875,0.0465245,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Ujjain,9,6324.4,702.711111111111,67.8888888888889,46.3,44.7666666666667,0.0307835555555556,Normal,Monitor performance
Agra - Varanasi,6,5407.5,901.25,58.1666666666667,47.0333333333333,34.5,0.057544,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Vidisha,10,13102.4,1310.24,67.6,47.12,64.95,0.0449418,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Vijayawada,16,11514.5,719.65625,63.4375,49.04375,30.19375,0.0658291875,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Visakhapatnam,7,8184.2,1169.17142857143,65.5714285714286,43.8,50.3714285714286,0.0468254285714286,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Wardha,9,7023.5,780.388888888889,65.6666666666667,50.6555555555556,38.2,0.057135,Low Utilization Lane,Improve load planning and shipment consolidation
Ahmedabad - Agartala,9,6467.2,718.577777777778,76.5555555555556,56.3555555555556,31.2777777777778,0.0416735555555556,Normal,Monitor performance
Ahmedabad - Agra,15,14607.2,973.813333333333,72.4666666666667,49.6333333333333,45.3133333333333,0.0445599333333333,Normal,Monitor performance
Ahmedabad - Aizawl,11,4451.2,404.654545454545,68,48.7272727272727,20.8636363636364,0.060764,Normal,Monitor performance
