shipment_id,origin,destination,lane,date,distance_km,weight_ton,vehicle_type,fuel_type,utilization_percent,estimated_emissions_kg_co2e,traffic congestion,Age of vehicle,Engine size ( Capacity of liters of fuel)
SYNX000033,Bilaspur,Jalandhar,Bilaspur - Jalandhar,2024-07-31 00:00:00,1521,24.1154914692812,24FT MA CONTAINER,Diesel,80.130655945025,789.8,Medium,8,8.9
SYNX000034,Trichy,Ludhiana,Trichy - Ludhiana,2024-07-17 00:00:00,2819,1.83374354716577,16mt openbody,EV,56.7780885425202,83.9,Medium,4,5
SYNX000035,Agra,Ahmedabad,Agra - Ahmedabad,2024-03-28 00:00:00,895,2.26395800293108,16mt openbody,EV,77.1681460138946,256.9,High,4,5
SYNX000036,Madurai,Prayagraj,Madurai - Prayagraj,2024-12-22 00:00:00,2211,3.19601359258022,16mt openbody,CNG,49.4406493024764,142.5,Medium,4,5
SYNX000037,Ghaziabad,Prayagraj,Ghaziabad - Prayagraj,2024-11-30 00:00:00,705,5.41795486169839,16mt openbody,CNG,70.6022282245712,166.6,Medium,4,5
SYNX000038,Nashik,Nagpur,Nashik - Nagpur,2024-06-15 00:00:00,708,10.1170337971911,18mt open body,Diesel,54.4921320570452,415.9,Medium,6,7.2
SYNX000039,Delhi,Siliguri,Delhi - Siliguri,2024-12-27 00:00:00,1416,9.58605384627732,17mt openbody,EV,42.381867980902,416.7,Medium,5,5.9
SYNX000040,Jalandhar,Surat,Jalandhar - Surat,2024-09-11 00:00:00,1452,3.97469230417174,16mt openbody,EV,100,235.1,Medium,4,5
SYNX000041,Aurangabad,Sonipat,Aurangabad - Sonipat,2024-03-26 00:00:00,1285,12.3633819855438,18mt open body,Diesel,70.1748467638069,381.3,Medium,6,7.2
SYNX000042,Vijayawada,Jabalpur,Vijayawada - Jabalpur,2024-06-19 00:00:00,932,8.9373495539695,17mt openbody,CNG,82.4871152384629,589.4,Medium,5,5.9
SYNX000043,Vijayawada,Faridabad,Vijayawada - Faridabad,2024-08-21 00:00:00,1709,3.29744567171536,16mt openbody,Diesel,99.8924511107636,197.2,Medium,4,5
SYNX000044,Bilaspur,Mangalore,Bilaspur - Mangalore,2024-08-06 00:00:00,1598,5.97528891904962,16mt openbody,EV,60.8566619525294,229.2,Medium,4,5
SYNX000045,Aurangabad,Bilaspur,Aurangabad - Bilaspur,2024-06-27 00:00:00,933,3.81065310715455,16mt openbody,Diesel,97.0419115625981,114.8,Medium,4,5
SYNX000046,Salem,Bilaspur,Salem - Bilaspur,2024-04-02 00:00:00,1542,8.95574384593877,17mt openbody,Diesel,94.0388830880206,540.4,Medium,5,5.9
SYNX000047,Panipat,Jaipur,Panipat - Jaipur,2024-12-14 00:00:00,373,8.72891685294157,17mt openbody,EV,62.2364804743233,435.3,Medium,5,5.9
SYNX000048,Nashik,Nagpur,Nashik - Nagpur,2024-01-30 00:00:00,708,17.2993642644616,18mt mxl,Diesel,86.4548586209148,968.8,Medium,7,7.8
SYNX000049,Vadodara,Mumbai,Vadodara - Mumbai,2024-07-03 00:00:00,451,10.7884643229175,18mt open body,Diesel,70.6399932666548,1379.6,High,6,7.2
SYNX000050,Tirupati,Jalandhar,Tirupati - Jalandhar,2024-10-09 00:00:00,2508,6.50556212569111,17mt openbody,EV,40.6316129585603,847.3,High,5,5.9
SYNX000051,Belgaum,Ghaziabad,Belgaum - Ghaziabad,2024-04-28 00:00:00,1822,7.07105584994753,17mt openbody,CNG,90.0509241238303,479.6,Medium,5,5.9
SYNX000052,Faridabad,Indore,Faridabad - Indore,2024-08-15 00:00:00,812,6.16866794716961,17mt openbody,EV,94.5618254756827,416.9,Medium,5,5.9
SYNX000053,Prayagraj,Agra,Prayagraj - Agra,2024-03-01 00:00:00,536,14.413390268726,18mt mxl,Diesel,82.2360399980728,766.2,Medium,7,7.8
SYNX000054,Agra,Ranchi,Agra - Ranchi,2024-05-28 00:00:00,1061,26.0683044097305,22FT RAIL CONTAINER,Diesel,66.806013114205,1513.7,Medium,8,8.9
SYNX000055,Amritsar,Nashik,Amritsar - Nashik,2024-09-07 00:00:00,1623,5.47961681806786,16mt openbody,Diesel,69.4770562799288,168.5,Medium,4,5
SYNX000056,Jaipur,Raipur,Jaipur - Raipur,2024-01-28 00:00:00,1081,14.7423698960988,18mt mxl,Diesel,78.5777328306794,953.2,Medium,7,7.8
SYNX000057,Coimbatore,Indore,Coimbatore - Indore,2024-06-30 00:00:00,1633,22.3401608656887,24 MT OPENBODY,Diesel,53.4012122079978,1430.2,Medium,8,8.9
SYNX000058,Pune,Gurgaon,Pune - Gurgaon,2024-02-03 00:00:00,1439,8.75951815995032,17mt openbody,Diesel,65.5979446802483,678.3,High,5,5.9
SYNX000059,Raipur,Kolkata,Raipur - Kolkata,2024-05-22 00:00:00,888,9.1662622303178,17mt openbody,EV,70.7725783579731,456.1,Medium,5,5.9
SYNX000060,Trichy,Mangalore,Trichy - Mangalore,2024-01-19 00:00:00,601,11.8891292852163,18mt open body,Diesel,96.8859665859387,904.7,High,6,7.2
SYNX000061,Chennai,Guntur,Chennai - Guntur,2024-10-09 00:00:00,449,3.4920298031057,16mt openbody,CNG,38.5871996262377,249.7,High,4,5
SYNX000062,Raipur,Sonipat,Raipur - Sonipat,2024-12-09 00:00:00,1222,2.59200951209783,16mt openbody,EV,37.1368631687131,203.9,High,4,5
SYNX000063,Belgaum,Hyderabad,Belgaum - Hyderabad,2024-01-17 00:00:00,573,4.77063248282388,16mt openbody,Diesel,92.8525074841105,309.9,Medium,4,5
SYNX000064,Trichy,Nagpur,Trichy - Nagpur,2024-07-29 00:00:00,1440,4.69884693336437,16mt openbody,Diesel,56.0865168341576,566.6,High,4,5
SYNX000065,Kolkata,Chennai,Kolkata - Chennai,2024-01-11 00:00:00,1698,4.55421713218707,16mt openbody,EV,86.4520944445401,654.4,High,4,5
SYNX000066,Chennai,Raipur,Chennai - Raipur,2024-12-28 00:00:00,1150,8.49716837224193,17mt openbody,EV,49.7793757463231,435.6,Medium,5,5.9
SYNX000067,Jalandhar,Sonipat,Jalandhar - Sonipat,2024-03-03 00:00:00,367,10.5285964548595,18mt open body,CNG,66.8549740260219,772.3,High,6,7.2
SYNX000068,Tirupati,Mumbai,Tirupati - Mumbai,2024-09-23 00:00:00,1155,1.92115685326364,16mt openbody,Diesel,35.2128313062413,143.5,High,4,5
SYNX000069,Ludhiana,Gwalior,Ludhiana - Gwalior,2024-05-14 00:00:00,710,22.3058330531314,24 MT OPENBODY,Diesel,85.2020775570263,1128.3,Medium,8,8.9
SYNX000070,Guntur,Sonipat,Guntur - Sonipat,2024-05-22 00:00:00,1817,5.35826430223565,16mt openbody,CNG,68.6434693417986,148.4,Medium,4,5
SYNX000071,Chennai,Delhi,Chennai - Delhi,2024-11-16 00:00:00,2210,17.1308533733474,18mt mxl,Diesel,59.7235224187062,1897.1,High,7,7.8
SYNX000072,Gwalior,Kolkata,Gwalior - Kolkata,2024-02-23 00:00:00,1384,21.1021253875497,24 MT OPENBODY,Diesel,79.4784272672846,688.6,Medium,8,8.9
SYNX000073,Chennai,Nagpur,Chennai - Nagpur,2024-04-01 00:00:00,1132,9.87593313075504,17mt openbody,Diesel,67.1139000705655,820.7,High,5,5.9
SYNX000074,Ludhiana,Vadodara,Ludhiana - Vadodara,2024-03-16 00:00:00,1240,5.75841104595711,16mt openbody,CNG,82.7451208496286,251.9,Medium,4,5
SYNX000075,Delhi,Hubli,Delhi - Hubli,2024-08-24 00:00:00,1871,7.59928248065438,17mt openbody,CNG,83.8346279060634,604.1,High,5,5.9
SYNX000076,Vijayawada,Kochi,Vijayawada - Kochi,2024-12-12 00:00:00,1089,3.01491274583331,16mt openbody,Diesel,68.3634298607443,114,Medium,4,5
SYNX000077,Hyderabad,Vadodara,Hyderabad - Vadodara,2024-02-09 00:00:00,974,4.71031642060702,16mt openbody,EV,63.9790867977613,303.8,Medium,4,5
SYNX000078,Prayagraj,Belgaum,Prayagraj - Belgaum,2024-12-04 00:00:00,1639,4.24281371672349,16mt openbody,EV,41.0855803113028,220.3,Medium,4,5
SYNX000079,Bangalore,Madurai,Bangalore - Madurai,2024-04-05 00:00:00,429,10.5304499845344,18mt open body,Diesel,56.6524641384769,1341.2,High,6,7.2
SYNX000080,Hubli,Faridabad,Hubli - Faridabad,2024-12-21 00:00:00,1835,1.82625064321853,16mt openbody,EV,58.6176286223819,113.7,Medium,4,5
SYNX000081,Jalandhar,Guntur,Jalandhar - Guntur,2024-06-30 00:00:00,2176,22.3401608656887,24 MT OPENBODY,Diesel,53.4012122079978,1430.2,Medium,8,8.9
SYNX000082,Siliguri,Jalandhar,Siliguri - Jalandhar,2024-03-21 00:00:00,1683,6.57992493296001,17mt openbody,CNG,73.7877376147329,452.1,Medium,5,5.9
SYNX000083,Aurangabad,Jalandhar,Aurangabad - Jalandhar,2024-09-17 00:00:00,1592,8.07853210182819,17mt openbody,Diesel,99.607396707419,462,Medium,5,5.9
SYNX000084,Mangalore,Raipur,Mangalore - Raipur,2024-10-26 00:00:00,1467,3.64004065054039,16mt openbody,EV,78.2442632439358,125.6,Medium,4,5
SYNX000085,Rohtak,Faridabad,Rohtak - Faridabad,2024-11-09 00:00:00,110,10.5487183978895,18mt open body,Diesel,86.7439843916985,396.5,Medium,6,7.2
SYNX000086,Bilaspur,Ranchi,Bilaspur - Ranchi,2024-11-16 00:00:00,443,1.17165928194969,16mt openbody,CNG,60.5582934653795,77.3,Medium,4,5
SYNX000087,Kanpur,Madurai,Kanpur - Madurai,2024-10-01 00:00:00,2315,2.62471136078727,16mt openbody,EV,51.9890997283971,200.4,High,4,5
SYNX000088,Kanpur,Tirupati,Kanpur - Tirupati,2024-04-15 00:00:00,1786,3.37718713585607,16mt openbody,CNG,82.2513923852977,267.6,High,4,5
SYNX000089,Surat,Kota,Surat - Kota,2024-04-01 00:00:00,683,4.4737676351654,16mt openbody,Diesel,44.9050555319313,180.7,Medium,4,5
SYNX000090,Udaipur,Pune,Udaipur - Pune,2024-01-10 00:00:00,843,21.628836934971,24 MT OPENBODY,Diesel,76.5209261857278,1409.7,Medium,8,8.9
SYNX000091,Raipur,Thiruvananthapuram,Raipur - Thiruvananthapuram,2024-02-24 00:00:00,1877,8.01610927511824,17mt openbody,CNG,77.6589185413438,457,Medium,5,5.9
SYNX000092,Jaipur,Siliguri,Jaipur - Siliguri,2024-11-27 00:00:00,1563,20.6287363094158,21 MT OPENBODY,Diesel,69.1493354569389,660.3,Medium,8,8.9
SYNX000093,Amritsar,Nashik,Amritsar - Nashik,2024-08-22 00:00:00,1623,5.49936740940617,16mt openbody,EV,88.1129890388528,282.4,Medium,4,5
SYNX000094,Tirupati,Salem,Tirupati - Salem,2024-09-06 00:00:00,323,1.88547885989245,16mt openbody,EV,77.1650971785962,85.3,Medium,4,5
SYNX000095,Bilaspur,Kanpur,Bilaspur - Kanpur,2024-09-06 00:00:00,649,1.78859639950305,16mt openbody,Diesel,68.9131850542888,67.9,Medium,4,5
SYNX000096,Prayagraj,Gwalior,Prayagraj - Gwalior,2024-06-17 00:00:00,471,4.801899308094,16mt openbody,EV,55.2175241583431,394.5,High,4,5
SYNX000097,Varanasi,Udaipur,Varanasi - Udaipur,2024-06-23 00:00:00,1171,6.51155899174305,17mt openbody,EV,62.2878963245622,394.6,Medium,5,5.9
SYNX000098,Lucknow,Thiruvananthapuram,Lucknow - Thiruvananthapuram,2024-04-16 00:00:00,2601,3.28746252853947,16mt openbody,EV,73.8903092671837,186,Medium,4,5
SYNX000099,Ghaziabad,Vijayawada,Ghaziabad - Vijayawada,2024-08-05 00:00:00,1739,3.40393128897132,16mt openbody,Diesel,47.031395903922,96.7,Medium,4,5
SYNX000100,Coimbatore,Belgaum,Coimbatore - Belgaum,2024-04-03 00:00:00,749,4.16618649233248,16mt openbody,Diesel,99.1651786873194,245.1,Medium,4,5
SYNX000101,Panipat,Bilaspur,Panipat - Bilaspur,2024-12-10 00:00:00,1205,3.03211234037201,16mt openbody,EV,71.8706168464797,190.9,Medium,4,5
SYNX000102,Tirupati,Siliguri,Tirupati - Siliguri,2024-05-12 00:00:00,2163,4.80202211231001,16mt openbody,CNG,73.433752512408,569.9,High,4,5
SYNX000103,Gurgaon,Pune,Gurgaon - Pune,2024-01-18 00:00:00,1439,1.29276505543961,16mt openbody,EV,71.1797044065598,97,High,4,5
SYNX000104,Sonipat,Kota,Sonipat - Kota,2024-03-31 00:00:00,544,10.7711880782259,18mt open body,EV,64.2739985647338,512.2,Medium,6,7.2
SYNX000105,Rajkot,Chandigarh,Rajkot - Chandigarh,2024-12-04 00:00:00,1387,4.24281371672349,16mt openbody,EV,41.0855803113028,220.3,Medium,4,5
SYNX000106,Nashik,Trichy,Nashik - Trichy,2024-05-12 00:00:00,1439,10.8849679548429,18mt open body,Diesel,85.4793622176879,1353.8,High,6,7.2
SYNX000107,Trichy,Chennai,Trichy - Chennai,2024-12-16 00:00:00,383,2.8258088534077,16mt openbody,Diesel,88.5303583849954,181.3,Medium,4,5
SYNX000108,Panipat,Hyderabad,Panipat - Hyderabad,2024-09-04 00:00:00,1680,15.6427528955143,18mt mxl,Diesel,89.8281466499393,1569.1,High,7,7.8
SYNX000109,Faridabad,Kanpur,Faridabad - Kanpur,2024-11-24 00:00:00,461,2.5864754733608,16mt openbody,EV,62.7411762686479,298.7,High,4,5
SYNX000110,Tirupati,Kota,Tirupati - Kota,2024-10-13 00:00:00,1676,8.2986160157514,17mt openbody,Diesel,89.5954987453945,435.6,Medium,5,5.9
SYNX000111,Vijayawada,Visakhapatnam,Vijayawada - Visakhapatnam,2024-09-12 00:00:00,379,16.8875439317521,18mt mxl,Diesel,75.7557176665982,1185.8,High,7,7.8
SYNX000112,Amritsar,Visakhapatnam,Amritsar - Visakhapatnam,2024-09-06 00:00:00,2205,18.833089633601,21 MT OPENBODY,Diesel,76.6387020333732,1115.8,Medium,7,7.8
SYNX000113,Surat,Ludhiana,Surat - Ludhiana,2024-02-05 00:00:00,1404,6.96880495570271,17mt openbody,CNG,47.9719833384363,420,Medium,5,5.9
SYNX000114,Pune,Kanpur,Pune - Kanpur,2024-11-06 00:00:00,1380,3.46333099456872,16mt openbody,EV,55.7051281116955,154.1,Medium,4,5
SYNX000115,Ahmedabad,Aurangabad,Ahmedabad - Aurangabad,2024-06-07 00:00:00,565,16.9079942641651,18mt mxl,Diesel,76.9247542221958,851.3,Medium,7,7.8
SYNX000116,Delhi,Ludhiana,Delhi - Ludhiana,2024-07-11 00:00:00,340,9.93160603859326,17mt openbody,Diesel,69.2304194573886,392.8,Medium,5,5.9
SYNX000117,Kolkata,Thiruvananthapuram,Kolkata - Thiruvananthapuram,2024-02-11 00:00:00,2478,1.55945705916137,16mt openbody,EV,48.9441861231616,110.9,High,4,5
SYNX000118,Kota,Lucknow,Kota - Lucknow,2024-12-31 00:00:00,674,5.03722149316297,16mt openbody,Diesel,94.6557614050449,159,Medium,4,5
SYNX000119,Guwahati,Chandigarh,Guwahati - Chandigarh,2024-09-22 00:00:00,1934,5.1747139477357,16mt openbody,Diesel,57.9523432330985,331.5,Medium,4,5
SYNX000120,Mumbai,Guntur,Mumbai - Guntur,2024-09-13 00:00:00,1072,15.9154287522115,18mt mxl,Diesel,94.143300007498,1646.3,High,7,7.8
SYNX000121,Trichy,Gwalior,Trichy - Gwalior,2024-12-15 00:00:00,2145,6.43845966484386,17mt openbody,EV,83.7710879247542,838.8,High,5,5.9
SYNX000122,Salem,Kota,Salem - Kota,2024-04-26 00:00:00,1907,11.0295907478803,18mt open body,CNG,70.569808185573,794.6,High,6,7.2
SYNX000123,Ghaziabad,Chandigarh,Ghaziabad - Chandigarh,2024-07-27 00:00:00,298,6.22471312288178,17mt openbody,EV,100,744.3,High,5,5.9
SYNX000124,Raipur,Kanpur,Raipur - Kanpur,2024-02-19 00:00:00,741,11.49949831785,18mt open body,CNG,99.729039842658,689.2,Medium,6,7.2
SYNX000125,Chandigarh,Durgapur,Chandigarh - Durgapur,2024-08-03 00:00:00,1642,16.0656001937049,18mt mxl,Diesel,68.3672577689751,702,Medium,7,7.8
SYNX000126,Madurai,Siliguri,Madurai - Siliguri,2024-03-20 00:00:00,2697,4.82297845521064,16mt openbody,Diesel,99.3336387609291,256,Medium,4,5
SYNX000127,Visakhapatnam,Rajkot,Visakhapatnam - Rajkot,2024-05-29 00:00:00,1743,5.07756641566639,16mt openbody,CNG,100,159.4,Medium,4,5
SYNX000128,Agra,Madurai,Agra - Madurai,2024-02-16 00:00:00,2398,6.8880689730252,17mt openbody,CNG,80.0762132041023,161.2,Medium,5,5.9
SYNX000129,Belgaum,Ghaziabad,Belgaum - Ghaziabad,2024-12-18 00:00:00,1822,6.17415912731796,17mt openbody,Diesel,93.2688316890175,421.2,Medium,5,5.9
SYNX000130,Ahmedabad,Agra,Ahmedabad - Agra,2024-12-16 00:00:00,895,1.8738444956996,16mt openbody,EV,60.8679956762708,73.2,Medium,4,5
SYNX000131,Mumbai,Prayagraj,Mumbai - Prayagraj,2024-12-14 00:00:00,1453,5.32433692943754,16mt openbody,CNG,79.2084750859241,416.4,High,4,5
SYNX000132,Sonipat,Rohtak,Sonipat - Rohtak,2024-08-24 00:00:00,52,12.1245335016982,18mt open body,Diesel,36.6245646702904,943,High,6,7.2
SYNX000133,Jaipur,Amritsar,Jaipur - Amritsar,2024-05-13 00:00:00,666,9.5228958920745,17mt openbody,CNG,81.4638625890753,834.6,High,5,5.9
SYNX000134,Thiruvananthapuram,Visakhapatnam,Thiruvananthapuram - Visakhapatnam,2024-04-22 00:00:00,1531,5.30863097778683,16mt openbody,CNG,80.0628966104243,641.3,High,4,5
SYNX000135,Nagpur,Vadodara,Nagpur - Vadodara,2024-01-19 00:00:00,780,2.39698824060047,16mt openbody,EV,55.4987092952641,133,Medium,4,5
SYNX000136,Noida,Varanasi,Noida - Varanasi,2024-07-24 00:00:00,824,9.02491604475889,17mt openbody,Diesel,96.5614715525213,698.3,High,5,5.9
SYNX000137,Salem,Varanasi,Salem - Varanasi,2024-07-08 00:00:00,2001,5.58688302005501,16mt openbody,EV,49.3741669212059,425.9,High,4,5
SYNX000138,Lucknow,Kolkata,Lucknow - Kolkata,2024-03-18 00:00:00,1109,6.55485090771695,17mt openbody,CNG,83.3775763026425,441.9,Medium,5,5.9
SYNX000139,Belgaum,Jalandhar,Belgaum - Jalandhar,2024-06-19 00:00:00,2155,9.88410513636422,17mt openbody,Diesel,59.6516818699377,534.2,Medium,5,5.9
SYNX000140,Kolkata,Gwalior,Kolkata - Gwalior,2024-09-28 00:00:00,1384,2.36096775307846,16mt openbody,EV,46.3397922791903,196.9,High,4,5
SYNX000141,Bilaspur,Bhopal,Bilaspur - Bhopal,2024-09-03 00:00:00,628,17.0514990820849,18mt mxl,Diesel,74.1909448221445,891.5,Medium,7,7.8
SYNX000142,Agra,Delhi,Agra - Delhi,2024-12-23 00:00:00,240,8.90311652105363,17mt openbody,CNG,74.6193638846555,524.3,Medium,5,5.9
SYNX000143,Faridabad,Kochi,Faridabad - Kochi,2024-12-12 00:00:00,2572,6.02618508092191,17mt openbody,Diesel,69.0465743674208,395,Medium,5,5.9
SYNX000144,Panipat,Belgaum,Panipat - Belgaum,2024-03-18 00:00:00,1908,5.06930922798397,16mt openbody,CNG,96.4248858036385,190.2,Medium,4,5
SYNX000145,Trichy,Gurgaon,Trichy - Gurgaon,2024-09-11 00:00:00,2466,8.92329408700226,17mt openbody,EV,68.8307046142746,444.9,Medium,5,5.9
SYNX000146,Nashik,Hubli,Nashik - Hubli,2024-04-21 00:00:00,668,6.19933539978176,17mt openbody,EV,99.598537459728,392.7,Medium,5,5.9
SYNX000147,Siliguri,Mumbai,Siliguri - Mumbai,2024-09-06 00:00:00,2251,1.78859639950305,16mt openbody,Diesel,68.9131850542888,67.9,Medium,4,5
SYNX000148,Jaipur,Vijayawada,Jaipur - Vijayawada,2024-02-18 00:00:00,1576,8.78980867952042,17mt openbody,Diesel,82.4172851832343,404.7,Medium,5,5.9
SYNX000149,Gurgaon,Agra,Gurgaon - Agra,2024-10-06 00:00:00,215,9.39179651284033,17mt openbody,EV,76.0517241908553,1328.3,High,5,5.9
SYNX000150,Delhi,Guntur,Delhi - Guntur,2024-11-29 00:00:00,1775,10.5291186133831,18mt open body,CNG,82.6078376380412,683.4,Medium,6,7.2
SYNX000151,Ranchi,Panipat,Ranchi - Panipat,2024-04-02 00:00:00,1336,8.95574384593877,17mt openbody,Diesel,94.0388830880206,540.4,Medium,5,5.9
SYNX000152,Guntur,Rohtak,Guntur - Rohtak,2024-11-20 00:00:00,1817,1.92816777363577,16mt openbody,Diesel,49.5887194700157,78.2,Medium,4,5
SYNX000153,Ranchi,Noida,Ranchi - Noida,2024-07-04 00:00:00,1224,14.3694256569338,18mt mxl,Diesel,60.248577340871,1113.4,High,7,7.8
SYNX000154,Agra,Jalandhar,Agra - Jalandhar,2024-04-27 00:00:00,648,10.2630104886162,18mt open body,Diesel,48.485183431296,308.5,Medium,6,7.2
SYNX000155,Nashik,Thiruvananthapuram,Nashik - Thiruvananthapuram,2024-04-23 00:00:00,1650,12.2441483618513,18mt open body,Diesel,76.4300268666038,546.3,Medium,6,7.2
SYNX000156,Kota,Rajkot,Kota - Rajkot,2024-08-01 00:00:00,760,8.24276443469569,17mt openbody,Diesel,77.2662446674966,291.6,Medium,5,5.9
SYNX000157,Prayagraj,Thiruvananthapuram,Prayagraj - Thiruvananthapuram,2024-03-09 00:00:00,2439,11.1176671932583,18mt open body,Diesel,92.2411065579199,587.1,Medium,6,7.2
SYNX000158,Jabalpur,Agra,Jabalpur - Agra,2024-02-27 00:00:00,608,1.24821670008355,16mt openbody,EV,50.7746174005892,51.4,Medium,4,5
SYNX000159,Panipat,Surat,Panipat - Surat,2024-03-21 00:00:00,1255,10.6853898124531,18mt open body,Diesel,39.1230688932913,280.1,Medium,6,7.2
