lane,shipment_count,total_emissions,average_emissions,average_utilization,average_speed_kmph,average_transit_time_hrs,average_co2_per_ton_km,hotspot_tag,recommendation_summary
Agartala - Chandigarh,13,8904.9,684.9923077,72.38461538,51.38461538,42.16923077,0.025570538,Normal,Monitor performance
Agartala - Chandrapur,10,5453.8,545.38,76.5,51.19,30.14,0.0444931,Normal,Monitor performance
Agartala - Chennai,6,6624.4,1104.066667,68,52.46666667,59.06666667,0.0817235,Normal,Monitor performance
Agartala - Coimbatore,10,4368.1,436.81,66,46.94,20,0.0310376,Normal,Monitor performance
Agartala - Cuttack,16,16737,1046.0625,71.0625,48.1125,42.9625,0.045446125,Normal,Monitor performance
Agartala - Darbhanga,7,9352,1336,64.14285714,46.25714286,63.87142857,0.044212,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Davangere,6,6067.5,1011.25,79.5,53.3,41.98333333,0.0533505,Normal,Monitor performance
Agartala - Delhi,14,12968.9,926.35,65.85714286,49.91428571,37.3,0.066557071,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Dhanbad,9,3693.3,410.3666667,79.66666667,46.26666667,21.75555556,0.068106778,Normal,Monitor performance
Agartala - Durgapur,6,3982.1,663.6833333,71.83333333,45.48333333,26.33333333,0.055191333,Normal,Monitor performance
Agartala - Erode,10,11364.5,1136.45,66,53.35,52.44,0.0640571,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Faridabad,12,16675.2,1389.6,63.33333333,47.625,53.38333333,0.035168167,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Ghaziabad,6,2378.7,396.45,63.66666667,53.7,19.25,0.0778395,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Gurgaon,10,5647.2,564.72,70.3,50.52,23.8,0.0442595,Normal,Monitor performance
Agartala - Guwahati,14,8030.8,573.6285714,68.57142857,49.2,23.14285714,0.052480071,Normal,Monitor performance
Agartala - Gwalior,8,9078,1134.75,69.375,46.6,46.1,0.060539375,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Haldia,11,12192.1,1108.372727,69.36363636,51.3,54.34545455,0.044233909,Normal,Monitor performance
Agartala - Haridwar,14,12071.2,862.2285714,61.92857143,47.12857143,39.69285714,0.034314143,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Hassan,10,15085.6,1508.56,73.7,52.39,53.96,0.0463409,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Hisar,8,3000.5,375.0625,69.75,49.8,15.225,0.060702625,Normal,Monitor performance
Agartala - Hoshangabad,7,5656.8,808.1142857,66,47.45714286,45.24285714,0.044368429,Normal,Monitor performance
Agartala - Hubli,7,6971.8,995.9714286,63.42857143,53.8,32.38571429,0.105145714,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Imphal,14,12521,894.3571429,73.85714286,49.99285714,53.51428571,0.033887786,Normal,Monitor performance
Agartala - Indore,12,16624.7,1385.391667,74.91666667,46.78333333,44.51666667,0.07791175,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Itanagar,12,9391.3,782.6083333,68,46.04166667,39.71666667,0.084390417,Normal,Monitor performance
Agartala - Jabalpur,13,13885,1068.076923,70.92307692,49.3,49.85384615,0.053146308,Normal,Monitor performance
Agartala - Jaipur,5,6040.9,1208.18,57.8,53.26,45.58,0.0309458,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Jalandhar,9,10093.8,1121.533333,67.44444444,49.58888889,52.34444444,0.026366778,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Jodhpur,10,16233.1,1623.31,69.2,50.14,62,0.0626457,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Kakinada,12,7239.5,603.2916667,76.33333333,51.13333333,21.775,0.0469255,Normal,Monitor performance
Agartala - Kanpur,7,11519,1645.571429,71,50.62857143,62.45714286,0.036456571,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Karnal,16,8662.3,541.39375,69.8125,49.9375,28.28125,0.05220075,Normal,Monitor performance
Agartala - Karur,5,6024.6,1204.92,67.6,43.08,54.64,0.0365778,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Katni,14,14319.3,1022.807143,67.5,51.85714286,50.27857143,0.039030071,Normal,Monitor performance
Agartala - Khandwa,9,3228.7,358.7444444,83.11111111,51.53333333,13.56666667,0.063797222,Normal,Monitor performance
Agartala - Kharagpur,12,2707.5,225.625,69.91666667,48.64166667,16.4,0.04346825,Normal,Monitor performance
Agartala - Kochi,11,12166.2,1106.018182,72.09090909,46.95454545,42.26363636,0.068154091,Normal,Monitor performance
Agartala - Kolhapur,14,1244.6,88.9,75.14285714,48.47142857,8.107142857,0.039662,Normal,Monitor performance
Agartala - Kolkata,13,6973.5,536.4230769,68.61538462,49.26153846,26,0.033671538,Normal,Monitor performance
Agartala - Korba,6,3387,564.5,65,52,25.85,0.033656,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Kota,12,19094.8,1591.233333,67.33333333,54.91666667,51.34166667,0.039776083,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Lucknow,8,5905.4,738.175,78.75,47.7875,39.125,0.049651375,Normal,Monitor performance
Agartala - Ludhiana,9,6850.2,761.1333333,69.55555556,49.44444444,31.41111111,0.099956111,Normal,Monitor performance
Agartala - Madurai,14,9474.3,676.7357143,67.64285714,51.15714286,27.67857143,0.036132857,Normal,Monitor performance
Agartala - Mangalore,12,13738.5,1144.875,80,48.38333333,56.35,0.075787333,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Meerut,14,6522.2,465.8714286,64.28571429,48.71428571,22.87857143,0.051886,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Moradabad,8,4461.9,557.7375,67,47.775,27.325,0.073851,Normal,Monitor performance
Agartala - Mumbai,9,8745.5,971.7222222,63.55555556,46.81111111,43.94444444,0.033620667,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Nagpur,6,6690.6,1115.1,65,52.65,29.55,0.0926125,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Nashik,15,13672,911.4666667,72.86666667,50.29333333,43.77333333,0.029185333,Normal,Monitor performance
Agartala - Nellore,10,16174,1617.4,74.5,49.12,60.88,0.1020678,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Panipat,9,6062.8,673.6444444,67,51.06666667,25.2,0.056280667,Normal,Monitor performance
Agartala - Patna,7,3387.5,483.9285714,63.28571429,51.57142857,20.02857143,0.042100286,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Prayagraj,13,12670.3,974.6384615,70.15384615,50.96923077,36.08461538,0.050558154,Normal,Monitor performance
Agartala - Pune,6,7077,1179.5,63.5,51.56666667,46.55,0.0330365,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Purnia,12,4413.1,367.7583333,68.25,51.19166667,18.74166667,0.026998167,Normal,Monitor performance
Agartala - Raipur,13,2380.4,183.1076923,73,53.09230769,9.438461538,0.057417231,Normal,Monitor performance
Agartala - Rajkot,13,6670.9,513.1461538,62.92307692,48.50769231,24.63076923,0.046242538,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Ratlam,11,1455.5,132.3181818,66.72727273,50.40909091,8.927272727,0.071891364,Normal,Monitor performance
Agartala - Rewa,5,7602.1,1520.42,61.6,48.7,46.4,0.1227082,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Rohtak,10,14062.2,1406.22,63.8,50.76,43.14,0.0856063,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Rourkela,14,19430.4,1387.885714,71.07142857,53.17142857,49.40714286,0.046546,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Sagar,8,3986.1,498.2625,64.75,50.15,22.3375,0.039926875,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Salem,17,6090.3,358.2529412,67.82352941,52.97647059,16.69411765,0.085605059,Normal,Monitor performance
Agartala - Sangli,10,11085.8,1108.58,74.4,47,61.02,0.0713614,Normal,Monitor performance
Agartala - Satna,4,4182.8,1045.7,67.75,49.875,47.55,0.04632025,Normal,Monitor performance
Agartala - Shillong,14,19552.8,1396.628571,72,52.75,57.42857143,0.044300214,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Silchar,8,8518.7,1064.8375,68.125,51.475,59.1875,0.024059,Normal,Monitor performance
Agartala - Siliguri,8,10910,1363.75,77.875,51.9,50.5625,0.059150625,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Sonipat,13,10410.6,800.8153846,74.30769231,48.16153846,26.60769231,0.065807,Normal,Monitor performance
Agartala - Thiruvananthapuram,8,3431.3,428.9125,73.125,54.5375,20.0625,0.035029125,Normal,Monitor performance
Agartala - Tirunelveli,13,10442,803.2307692,73.46153846,52.01538462,35.24615385,0.073424615,Normal,Monitor performance
Agartala - Tirupati,9,6308,700.8888889,63.77777778,47.52222222,33.03333333,0.068173222,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Tiruppur,7,6439.1,919.8714286,65.71428571,55.38571429,39.4,0.046512,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Trichy,7,8758.9,1251.271429,73,48.71428571,52.12857143,0.046619857,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Tuticorin,14,10067.9,719.1357143,74.35714286,50.51428571,34.58571429,0.049016929,Normal,Monitor performance
Agartala - Udaipur,10,12129.7,1212.97,77.4,47.93,58.44,0.0340786,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Ujjain,12,8240.8,686.7333333,66.41666667,50.1,29.05,0.079121667,Normal,Monitor performance
Agartala - Vadodara,8,6623,827.875,75,53.65,36.9125,0.04458725,Normal,Monitor performance
Agartala - Varanasi,8,6427.9,803.4875,74.5,53.1125,33.1,0.041557875,Normal,Monitor performance
Agartala - Vidisha,12,20489.2,1707.433333,62.08333333,49.2,63.45833333,0.055260167,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Vijayawada,12,3987.3,332.275,78,49.74166667,18.31666667,0.073051333,Normal,Monitor performance
Agartala - Warangal,15,4579.9,305.3266667,78.4,54.04,13.5,0.063144467,Normal,Monitor performance
Agartala - Yavatmal,12,1845.2,153.7666667,74.83333333,53.31666667,8.666666667,0.05834375,Normal,Monitor performance
Agra - Agartala,16,6532.9,408.30625,74.125,50.06875,19.375,0.050667188,Normal,Monitor performance
Agra - Aizawl,12,11259.3,938.275,69.33333333,48.73333333,44.73333333,0.054382167,Normal,Monitor performance
Agra - Ajmer,6,2577.3,429.55,71.16666667,46.25,25.88333333,0.056106333,Normal,Monitor performance
Agra - Akola,10,4733.5,473.35,76.2,50.98,24.04,0.0650966,Normal,Monitor performance
Agra - Amritsar,11,3217.8,292.5272727,76.63636364,53.5,13.26363636,0.064476091,Normal,Monitor performance
Agra - Anantapur,10,16298.2,1629.82,68.6,49.83,54.43,0.0712141,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Asansol,11,15494.4,1408.581818,61.09090909,50.92727273,63.83636364,0.069677818,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Ballari,9,6860,762.2222222,77.33333333,47.05555556,32.43333333,0.066617,Normal,Monitor performance
Agra - Bareilly,10,11671.7,1167.17,72.6,48.32,51.72,0.0304753,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Bhopal,7,9267.7,1323.957143,67.42857143,44.78571429,74,0.022251857,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Bhubaneswar,14,8350,596.4285714,69.07142857,50.12142857,24.78571429,0.040194286,Normal,Monitor performance
Agra - Bilaspur,8,2108.5,263.5625,62.875,50.0125,14.925,0.036878625,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Bokaro,9,8677.8,964.2,70.55555556,50.31111111,41.24444444,0.058850667,Normal,Monitor performance
Agra - Burhanpur,6,3432.5,572.0833333,68.66666667,45.55,34.3,0.0242915,Normal,Monitor performance
Agra - Chandigarh,9,12765.6,1418.4,68.44444444,49.87777778,50.17777778,0.063153,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Chandrapur,13,12235.2,941.1692308,65.92307692,52.43076923,36.06153846,0.047301231,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Chennai,7,11424.9,1632.128571,69.14285714,46.77142857,64.91428571,0.064653571,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Coimbatore,6,180.6,30.1,69,46.38333333,5.433333333,0.023120333,Normal,Monitor performance
Agra - Cuttack,10,14092.2,1409.22,73.9,50.98,49.05,0.095339,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Darbhanga,8,15140.9,1892.6125,65.5,51.925,62.7125,0.0603835,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Davangere,7,7857.3,1122.471429,73.28571429,48.74285714,56.55714286,0.029535857,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Dehradun,4,5671.4,1417.85,63.75,53.9,49.375,0.06068425,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Delhi,7,7626.7,1089.528571,72.85714286,49.34285714,52.1,0.074081857,Normal,Monitor performance
Agra - Dhanbad,10,8083.6,808.36,73.5,49.91,32.77,0.0404538,Normal,Monitor performance
Agra - Durgapur,5,6094,1218.8,71.2,44.06,43.32,0.0627902,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Erode,8,13323.9,1665.4875,61.875,49.625,51.2125,0.040067125,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Ghaziabad,11,5178.9,470.8090909,69.36363636,44.93636364,23.69090909,0.099940364,Normal,Monitor performance
Agra - Guntur,2,500.8,250.4,68,53.8,15.4,0.03408,Normal,Monitor performance
Agra - Gurgaon,10,8667.2,866.72,70.5,47.29,38.29,0.0472409,Normal,Monitor performance
Agra - Guwahati,12,12217.5,1018.125,65,54.95833333,33.23333333,0.05111675,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Gwalior,9,8173.1,908.1222222,66.66666667,49.86666667,41.17777778,0.055345556,Normal,Monitor performance
Agra - Haldia,6,9131.6,1521.933333,64,50.13333333,53.41666667,0.101750833,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Haridwar,9,6552.8,728.0888889,70.88888889,44.72222222,31.1,0.060949667,Normal,Monitor performance
Agra - Hassan,11,14601.4,1327.4,77.81818182,55.73636364,52.88181818,0.057944727,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Hisar,12,6541.4,545.1166667,69.25,51.83333333,23.35,0.051442083,Normal,Monitor performance
Agra - Hoshangabad,14,20460.5,1461.464286,71.35714286,45.67142857,56.75,0.052248357,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Hubli,12,15405.6,1283.8,76.83333333,47.26666667,50.375,0.052269917,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Hyderabad,4,2265.7,566.425,82.5,51.325,18.75,0.0792705,Normal,Monitor performance
Agra - Imphal,14,20263.8,1447.414286,74,48.43571429,62.53571429,0.065108857,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Indore,9,12897.1,1433.011111,78.11111111,49.82222222,45.91111111,0.074034889,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Itanagar,13,18627,1432.846154,72.92307692,51.44615385,48.72307692,0.064046462,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Jabalpur,16,19781.9,1236.36875,73.5,52.35625,50.475,0.051708813,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Jaipur,11,11076.3,1006.936364,66.72727273,53.01818182,46.39090909,0.045763636,Normal,Monitor performance
Agra - Jalandhar,17,22627.7,1331.041176,74,48.11764706,54.25294118,0.051606706,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Jammu,7,5374,767.7142857,66.71428571,47.2,39.62857143,0.039877429,Normal,Monitor performance
Agra - Jharsuguda,13,8816.4,678.1846154,70.53846154,53.98461538,22.65384615,0.07537,Normal,Monitor performance
Agra - Jodhpur,12,17886.9,1490.575,63.08333333,51.90833333,70.96666667,0.076693167,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Kakinada,11,4929.4,448.1272727,68.90909091,53.43636364,20.50909091,0.060649,Normal,Monitor performance
Agra - Kanpur,8,9356.7,1169.5875,59.625,51.7125,62.275,0.07645775,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Karnal,9,8674.8,963.8666667,57.55555556,46.13333333,42.12222222,0.029879333,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Karur,7,6453.6,921.9428571,79.28571429,49.17142857,56.75714286,0.020548429,Normal,Monitor performance
Agra - Katni,12,17956.1,1496.341667,69.41666667,53.16666667,52.95833333,0.06770725,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Khandwa,13,2158.3,166.0230769,72.61538462,45.97692308,10.00769231,0.074322,Normal,Monitor performance
Agra - Kharagpur,12,6197.1,516.425,65.41666667,47.54166667,26.64166667,0.0472385,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Kochi,14,11696.2,835.4428571,69.35714286,49.91428571,34.70714286,0.085697857,Normal,Monitor performance
Agra - Kolhapur,12,6083.4,506.95,66.33333333,48.16666667,22.96666667,0.040836667,Normal,Monitor performance
Agra - Kota,8,14269.8,1783.725,64.125,44.6875,72.9875,0.04826925,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Lucknow,5,6110.8,1222.16,64.8,56.48,45.2,0.0537864,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Ludhiana,12,5434.8,452.9,70.41666667,46.71666667,22.45,0.054348333,Normal,Monitor performance
Agra - Madurai,12,11306.3,942.1916667,75.08333333,46.5,37.60833333,0.04352325,Normal,Monitor performance
Agra - Mangalore,11,15808.6,1437.145455,71.27272727,47.1,68.07272727,0.053349273,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Moradabad,7,3979.5,568.5,75.14285714,46.55714286,30,0.066095429,Normal,Monitor performance
Agra - Mumbai,10,5667.3,566.73,76.7,49.39,31.13,0.0338591,Normal,Monitor performance
Agra - Noida,8,2080.9,260.1125,62.5,47.275,14.3,0.08201675,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Panipat,9,4835.8,537.3111111,70.66666667,52.6,29.26666667,0.044671111,Normal,Monitor performance
Agra - Patna,10,9298,929.8,72,50.71,35.29,0.0548551,Normal,Monitor performance
Agra - Prayagraj,8,6951.2,868.9,62.625,45.7875,32.5375,0.095201125,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Pune,9,11305.3,1256.144444,72.77777778,50.91111111,52.14444444,0.065414556,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Purnia,7,5608.3,801.1857143,69.28571429,47.24285714,34.92857143,0.034076714,Normal,Monitor performance
Agra - Raipur,6,3371.5,561.9166667,74.16666667,48.93333333,24.5,0.0459445,Normal,Monitor performance
Agra - Rajkot,8,3216.9,402.1125,63,48.025,26.5375,0.028966,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Ratlam,4,2768.7,692.175,83,50.45,22.55,0.054592,Normal,Monitor performance
Agra - Rewa,17,19975.9,1175.052941,67.11764706,48.27647059,55.84705882,0.038679824,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Rohtak,6,8154.8,1359.133333,72.5,49.9,50.61666667,0.050627833,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Rourkela,7,10430.6,1490.085714,59.57142857,54.38571429,50.25714286,0.056289286,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Sagar,7,1675.9,239.4142857,62.71428571,46.01428571,13.8,0.030913286,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Salem,7,4677.3,668.1857143,68.57142857,53.28571429,27.98571429,0.035808571,Normal,Monitor performance
Agra - Sangli,5,5023.6,1004.72,67.2,50.14,61.04,0.0493168,Normal,Monitor performance
Agra - Satna,13,18061.8,1389.369231,65.76923077,47.46153846,59.00769231,0.065985846,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Shillong,12,17946.1,1495.508333,68.66666667,49.30833333,63.025,0.04968025,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Shimla,9,6425.5,713.9444444,67.22222222,51.74444444,31.36666667,0.052038222,Normal,Monitor performance
Agra - Siliguri,13,20421.2,1570.861538,68.61538462,52.34615385,60.50769231,0.064381231,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Solapur,8,4496.5,562.0625,68.25,51.8625,24.3375,0.067368125,Normal,Monitor performance
Agra - Sonipat,11,10858,987.0909091,73.18181818,49.18181818,40.87272727,0.052394273,Normal,Monitor performance
Agra - Srinagar,9,4363.8,484.8666667,68.77777778,44.58888889,30.83333333,0.032412667,Normal,Monitor performance
Agra - Surat,12,11721.4,976.7833333,72.91666667,49.45,37.86666667,0.043447583,Normal,Monitor performance
Agra - Thiruvananthapuram,11,8703.8,791.2545455,62.54545455,50.16363636,33.54545455,0.060705182,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Tirunelveli,10,11001.9,1100.19,61.9,47.3,46.05,0.0545483,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Tirupati,10,11401.2,1140.12,78.3,58.11,38.14,0.0481284,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Trichy,10,13223.3,1322.33,73.7,50.8,55.38,0.0702457,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Tuticorin,15,8733.1,582.2066667,73.4,47.40666667,32.04,0.055511133,Normal,Monitor performance
Agra - Udaipur,8,15828.8,1978.6,72.625,51.7125,65.0875,0.0465245,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Ujjain,9,6324.4,702.7111111,67.88888889,46.3,44.76666667,0.030783556,Normal,Monitor performance
Agra - Varanasi,6,5407.5,901.25,58.16666667,47.03333333,34.5,0.057544,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Vidisha,10,13102.4,1310.24,67.6,47.12,64.95,0.0449418,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agra - Vijayawada,16,11514.5,719.65625,63.4375,49.04375,30.19375,0.065829188,Low Utilization Lane,Improve load planning and shipment consolidation
Agra - Visakhapatnam,7,8184.2,1169.171429,65.57142857,43.8,50.37142857,0.046825429,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agra - Wardha,9,7023.5,780.3888889,65.66666667,50.65555556,38.2,0.057135,Low Utilization Lane,Improve load planning and shipment consolidation
Ahmedabad - Agartala,9,6467.2,718.5777778,76.55555556,56.35555556,31.27777778,0.041673556,Normal,Monitor performance
Ahmedabad - Agra,15,14607.2,973.8133333,72.46666667,49.63333333,45.31333333,0.044559933,Normal,Monitor performance
Ahmedabad - Aizawl,11,4451.2,404.6545455,68,48.72727273,20.86363636,0.060764,Normal,Monitor performance
Ahmedabad - Akola,9,5134.2,570.4666667,67.44444444,49.47777778,25.14444444,0.098426667,Normal,Monitor performance
Ahmedabad - Ambala,14,10011,715.0714286,64.57142857,49.96428571,27.28571429,0.0642315,Low Utilization Lane,Improve load planning and shipment consolidation
Ahmedabad - Anantapur,11,3290,299.0909091,76.72727273,53.16363636,15.2,0.076705091,Normal,Monitor performance
Ahmedabad - Asansol,9,3915.8,435.0888889,77.44444444,52.93333333,23.58888889,0.023699889,Normal,Monitor performance
Ahmedabad - Aurangabad,10,8299.9,829.99,72,50.62,41.26,0.0550748,Normal,Monitor performance
Ahmedabad - Ballari,12,8004.9,667.075,66.16666667,50.225,35.39166667,0.058135417,Normal,Monitor performance
Ahmedabad - Bangalore,9,392.2,43.57777778,67.11111111,52.58888889,7.055555556,0.072651111,Normal,Monitor performance
Ahmedabad - Bareilly,10,6143.6,614.36,66.4,46.1,28.26,0.0516404,Normal,Monitor performance
Ahmedabad - Belagavi,11,4180.9,380.0818182,67.54545455,47.02727273,20.45454545,0.037291636,Normal,Monitor performance
Ahmedabad - Belgaum,11,9254.1,841.2818182,74,53.31818182,35.55454545,0.037247636,Normal,Monitor performance
Ahmedabad - Bhopal,7,3042.4,434.6285714,72.14285714,47.24285714,27.37142857,0.031153571,Normal,Monitor performance
Ahmedabad - Bhubaneswar,14,15604.2,1114.585714,73.71428571,52.03571429,46.37142857,0.063495571,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Ahmedabad - Bikaner,17,14854.9,873.8176471,59.41176471,52.02352941,43.51176471,0.046372176,Low Utilization Lane,Improve load planning and shipment consolidation
Ahmedabad - Bilaspur,10,10788.9,1078.89,71.4,51.06,39.23,0.079112,Normal,Monitor performance
Ahmedabad - Bokaro,9,3817.5,424.1666667,65,52.37777778,19.36666667,0.036397,Low Utilization Lane,Improve load planning and shipment consolidation
Ahmedabad - Burhanpur,17,8735.8,513.8705882,72.64705882,48.18235294,23.87058824,0.057504118,Normal,Monitor performance
Ahmedabad - Chandigarh,5,1247.7,249.54,84.8,43.78,13.24,0.0473432,Normal,Monitor performance
Ahmedabad - Chandrapur,8,1206,150.75,75.625,53.075,10.3,0.028742875,Normal,Monitor performance
